Node,Value
Aiden Martin,0.27113366264547417
Arden Peterson,0.276633676944527
Hazel Hall,0.28448863502808924
Lana Russell,0.2568194115837162
Calvin Hill,0.2539206327560344
Archer Taylor,0.25701028848093604
Amy Kelly,0.25426737675815925
Mira Bailey,0.2816747346862782
Robin Foster,0.2895523816359243
Mackenzie Stewart,0.2562132181718108
Myra Price,0.26270036790640633
Scarlett Lopez,0.2568194115837162
Eric Thompson,0.2541072234644495
Athena Green,0.26619891787269606
Kian Walker,0.29171939212070813
Lucy Scott,0.2819766087321187
Rayne Sanchez,0.2646100701808085
Muhammad Flores,0.2701743420318325
Xander Adams,0.2877350640705608
Marcus Perez,0.2819766087321187
Serena Bailey,0.2608489498582928
Beckett Adams,0.30275665399239543
Celeste Morgan,0.34698967889908255
Eleanor Powell,0.2716753274447525
Kayla Thomas,0.28180590481512524
Ari Bennett,0.28874071069865087
Millie Torres,0.2760185639189482
Jedidiah Lewis,0.26624869383490074
Priscilla Bell,0.25543185775338995
Kash Price,0.2651259583789704
Alice Roberts,0.25420329122165863
Eli Cooper,0.266222339536316
Robert Ramirez,0.2679789212647241
Kai Nelson,0.26116134043976436
Madeline Baker,0.2576065556324163
Zoey Davis,0.2819766087321187
Orion Martin,0.30969013075407487
Valerie Walker,0.3388677343487513
Connor Hughes,0.25310287859301317
Enzo Parker,0.259826968077113
Alina Anderson,0.3298584140741044
Flynn Cook,0.2819766087321187
Grayson Thompson,0.25543724871521584
Malachi Thompson,0.28215409721412754
Rome Peterson,0.2577217507958647
Louis Smith,0.2819766087321187
Serena Ramirez,0.27374611252473846
Luka Miller,0.27113366264547417
Aster Reyes,0.26619891787269606
June Cruz,0.31570847245409017
Axel Ramirez,0.2589070839528093
Gideon Sullivan,0.26436731395120244
Alexis Torres,0.26362161161390096
Miles Scott,0.25426737675815925
Justin Miller,0.25426737675815925
Grace Sullivan,0.2832436227474842
Simon Torres,0.30490754270166776
Gabriel Jenkins,0.2589070839528093
Cameron Scott,0.2568194115837162
Cole Long,0.2602851674229553
Kian Gray,0.2646100701808085
Salem Long,0.33811512620301437
Lyra Lee,0.3010921213025848
Celeste Sullivan,0.2791346663899075
Kira Williams,0.28666508763619136
Shiloh Wilson,0.2726361434927071
Linda Reed,0.25916210747208274
Edward Garcia,0.28121986639558527
Millie Gutierrez,0.26619891787269606
Milo Scott,0.2577217507958647
Zoe Ramirez,0.26270036790640633
Madison Walker,0.25461506905510733
Julia Myers,0.25459364515077254
Rayne Sullivan,0.2811610700056915
Ayesha Ortiz,0.3444713248897111
Harrison Brown,0.2639521950581205
Cyrus Kelly,0.26619891787269606
Atharv Turner,0.2539206327560344
Cynthia Rivera,0.250836778893483
Luka King,0.29664942768205105
Alana Cooper,0.2856468533531584
Anastasia Campbell,0.2577217507958647
Amara Cruz,0.26619891787269606
Ezra Cook,0.26619891787269606
Ayesha Cooper,0.2816354074556709
Lennon Gonzalez,0.26619891787269606
Maisie Murphy,0.264401966138722
Kyle Morgan,0.26116134043976436
Vanessa Sullivan,0.2646100701808085
Cecilia Evans,0.2589070839528093
Callie Torres,0.25957063503978384
Hailey Jones,0.25420329122165863
Adrian Howard,0.2819766087321187
Marie Sanchez,0.25333068204414394
Isaac Miller,0.26482139926699855
Jennifer Butler,0.25426737675815925
Nicholas Fisher,0.2907941999735707
Arya James,0.28215409721412754
Mackenzie Cruz,0.28368179261203824
Hayden Torres,0.259826968077113
Ariella Carter,0.25897633414644583
Sean Hall,0.2819766087321187
Beau Moore,0.2589070839528093
Skylar Clark,0.2608489498582928
Amy Sullivan,0.26624869383490074
Everly Howard,0.2756822012664571
Adira Price,0.25426737675815925
Elizabeth Anderson,0.27258702041643673
Julia White,0.2722865274075074
Rich Gonzalez,0.28170095894237035
Anya Adams,0.3036377320622178
Kash Thomas,0.26532357067695544
Rory Howard,0.26619891787269606
Kaia Nguyen,0.28652935606060603
Lennon White,0.26270036790640633
Elise Murphy,0.2670859538784067
Natalie Nguyen,0.2608489498582928
Mara Gomez,0.25459364515077254
Nia James,0.259826968077113
Sebastian Gomez,0.26103460547174084
Mary Myers,0.2942120232394195
Francis Diaz,0.2541072234644495
Marcus Adams,0.34458411035346703
Jordan Jackson,0.2562783212637107
Harlow Brown,0.30712427837340606
Margaret Collins,0.340651298938895
Maisie Cooper,0.26146600704270995
Jonah Powell,0.27037955454281437
Silas Smith,0.2874173286313065
Daisy Torres,0.28797810957111414
Hunter Flores,0.28180590481512524
Silas Morales,0.2671979865771812
Ezra Harris,0.25685211319913837
Eloise Reed,0.26619891787269606
Amy Phillips,0.26147730464277225
Azariah Wood,0.2568194115837162
Evie Parker,0.25333068204414394
Phoebe Lewis,0.25701028848093604
Natalie Torres,0.2906335922773062
Ezekiel Ross,0.35688905270917803
Sierra Campbell,0.26302292730631316
Sadie Ortiz,0.25333068204414394
Jayden Evans,0.27013213105972683
Hallie Martinez,0.2550711809397359
Caroline Sullivan,0.2550711809397359
Genevieve Martinez,0.2539206327560344
Elle Roberts,0.2562783212637107
Florence Cook,0.2577217507958647
Theodore Fisher,0.30743243243243246
Celeste Brown,0.2894935119296777
Skye James,0.2639521950581205
Beau Rivera,0.2678662328751964
Blake Parker,0.2851689973257307
Aaron Mitchell,0.279776696448179
Kennedy Nelson,0.2550711809397359
Lauren Allen,0.2608489498582928
Emma Martin,0.2819766087321187
Vivian Campbell,0.27402501839587934
Christopher Moore,0.2624554099036095
Fiona Butler,0.2646100701808085
Adriel Brooks,0.2555667001003009
Celeste Ramirez,0.27402501839587934
Arianna Flores,0.28180590481512524
Louis Turner,0.2705245982252621
Ruby Garcia,0.2577217507958647
Alexis Bennett,0.2819766087321187
Willow Murphy,0.26619891787269606
Mira Nelson,0.335486195808848
Deborah Thomas,0.2512116400469089
Mika Wright,0.2526722338204593
Alexis Howard,0.2555667001003009
Aubrey Rivera,0.28107618527850997
Hazel Thomas,0.2539206327560344
Aiden Jones,0.2708333333333333
Keira Gonzalez,0.2550711809397359
Justin Allen,0.26053169734151327
Mae Anderson,0.2620632910021978
Arthur Lewis,0.2526827842498643
Jace Jackson,0.2604139771064635
Eva Lopez,0.28180590481512524
Maverick Peterson,0.26270036790640633
Ali Johnson,0.35965707323596274
Athena Cooper,0.34744290861071636
Rachel Martin,0.2562132181718108
Inayah Lewis,0.28215409721412754
Callum Murphy,0.2639521950581205
