Node,Value
Harlow Bell,3.3907708832520864
Edward Torres,3.9278278112864577
Kayden Carter,3.605139221680575
Carter Carter,3.880153680905561
Alexander Sanchez,3.331942493596629
Aiden Martin,3.6882177972403536
Arden Peterson,3.6148888705279685
Hazel Hall,3.51507890605635
Lana Russell,3.8937866644633563
Calvin Hill,3.938238453276047
Archer Taylor,3.890894819466248
Amy Kelly,3.9328678839957036
Mira Bailey,3.55019416673552
Robin Foster,3.4536065438321075
Mackenzie Stewart,3.902999256382715
Myra Price,3.806618193836239
Scarlett Lopez,3.8937866644633563
Eric Thompson,3.9353466082789392
Athena Green,3.756589275386268
Kian Walker,3.42795174750062
Lucy Scott,3.5463934561678925
Rayne Sanchez,3.7791456663637115
Muhammad Flores,3.701313723870115
Xander Adams,3.475419317524581
Marcus Perez,3.5463934561678925
Serena Bailey,3.8336362885235067
Beckett Adams,3.30298273155416
Celeste Morgan,2.8819300999752127
Eleanor Powell,3.6808642485334215
Kayla Thomas,3.5485416838800297
Ari Bennett,3.4633148806081135
Millie Torres,3.622944724448484
Jedidiah Lewis,3.7558869701726842
Priscilla Bell,3.914938445013633
Kash Price,3.7717921176567795
Alice Roberts,3.933859373708998
Eli Cooper,3.75625877881517
Robert Ramirez,3.731636784268363
Kai Nelson,3.829050648599521
Madeline Baker,3.8818887879038253
Zoey Davis,3.5463934561678925
Orion Martin,3.229034123770966
Valerie Walker,2.9510038833347103
Connor Hughes,3.950962571263323
Enzo Parker,3.848715194579856
Alina Anderson,3.031603734611253
Flynn Cook,3.5463934561678925
Grayson Thompson,3.9148558208708586
Malachi Thompson,3.54416260431298
Rome Peterson,3.880153680905561
Louis Smith,3.5463934561678925
Serena Ramirez,3.653019912418409
Luka Miller,3.6882177972403536
Aster Reyes,3.756589275386268
June Cruz,3.1674791374039493
Axel Ramirez,3.862389490209039
Gideon Sullivan,3.7826158803602414
Alexis Torres,3.7933157068495413
Miles Scott,3.9328678839957036
Justin Miller,3.9328678839957036
Grace Sullivan,3.5305296207551846
Simon Torres,3.279682723291746
Gabriel Jenkins,3.862389490209039
Cameron Scott,3.8937866644633563
Cole Long,3.8419400148723457
Kian Gray,3.7791456663637115
Salem Long,2.957572502685285
Lyra Lee,3.3212426671073287
Celeste Sullivan,3.582500206560357
Kira Williams,3.48839130794018
Shiloh Wilson,3.667892258117822
Linda Reed,3.858588779641411
Edward Garcia,3.555936544658349
Millie Gutierrez,3.756589275386268
Milo Scott,3.880153680905561
Zoe Ramirez,3.806618193836239
Madison Walker,3.92749731471536
Julia Myers,3.9278278112864577
Rayne Sullivan,3.5566801619433197
Ayesha Ortiz,2.902999256382715
Harrison Brown,3.7885648186400065
Cyrus Kelly,3.756589275386268
Atharv Turner,3.938238453276047
Cynthia Rivera,3.986656200941915
Luka King,3.370982401057589
Alana Cooper,3.5008262414277453
Anastasia Campbell,3.880153680905561
Amara Cruz,3.756589275386268
Ezra Cook,3.756589275386268
Ayesha Cooper,3.5506899115921673
Lennon Gonzalez,3.756589275386268
Maisie Murphy,3.782120135503594
Kyle Morgan,3.829050648599521
Vanessa Sullivan,3.7791456663637115
Cecilia Evans,3.862389490209039
Callie Torres,3.852515905147484
Hailey Jones,3.933859373708998
Adrian Howard,3.5463934561678925
Marie Sanchez,3.9474097331240188
Isaac Miller,3.7761298851524416
Jennifer Butler,3.9328678839957036
Nicholas Fisher,3.438858134346856
Arya James,3.54416260431298
Mackenzie Cruz,3.5250764273320665
Hayden Torres,3.848715194579856
Ariella Carter,3.8613566884243578
Sean Hall,3.5463934561678925
Beau Moore,3.862389490209039
Skylar Clark,3.8336362885235067
Amy Sullivan,3.7558869701726842
Everly Howard,3.6273651160869207
Adira Price,3.9328678839957036
Elizabeth Anderson,3.6685532512600183
Julia White,3.6726018342559694
